model,item,judge,human,truth
M1,0,1,,1
M1,1,1,,1
M1,2,1,1,1
M1,3,0,,0
M1,4,1,,1
M1,5,0,,0
M1,6,0,,0
M1,7,1,,1
M1,8,0,,0
M1,9,1,,1
M1,10,0,,0
M1,11,1,1,1
M1,12,0,0,0
M1,13,1,,1
M1,14,1,,1
M1,15,0,,0
M1,16,0,0,0
M1,17,0,0,0
M1,18,1,,1
M1,19,0,,0
M1,20,1,,1
M1,21,1,1,1
M1,22,1,1,1
M1,23,1,,1
M1,24,1,1,1
M1,25,1,,1
M1,26,0,0,0
M1,27,0,,0
M1,28,0,,0
M1,29,1,,1
M1,30,1,1,1
M1,31,1,,1
M1,32,0,,0
M1,33,1,,1
M1,34,1,,1
M1,35,0,,0
M1,36,0,,0
M1,37,1,,0
M1,38,1,1,1
M1,39,0,,1
M1,40,1,,1
M1,41,1,1,1
M1,42,0,,0
M1,43,0,,0
M1,44,1,1,1
M1,45,0,,0
M1,46,0,,0
M1,47,0,,0
M1,48,1,,1
M1,49,1,,1
M1,50,1,,1
M1,51,1,,1
M1,52,1,,1
M1,53,1,,1
M1,54,1,1,1
M1,55,1,,1
M1,56,1,1,1
M1,57,1,,1
M1,58,0,,0
M1,59,1,,0
M1,60,0,0,0
M1,61,1,,1
M1,62,1,,1
M1,63,1,,1
M1,64,0,,0
M1,65,1,1,1
M1,66,0,0,0
M1,67,0,,0
M1,68,1,,1
M1,69,0,0,0
M1,70,0,,0
M1,71,1,,1
M1,72,0,,0
M1,73,1,0,0
M1,74,1,,1
M1,75,1,,1
M1,76,1,1,1
M1,77,0,,0
M1,78,1,,1
M1,79,0,,0
M1,80,0,,0
M1,81,1,,1
M1,82,1,,0
M1,83,1,,1
M1,84,0,,0
M1,85,1,1,1
M1,86,0,,0
M1,87,0,,0
M1,88,1,,1
M1,89,0,,0
M1,90,0,,0
M1,91,1,,1
M1,92,0,,0
M1,93,1,,1
M1,94,1,,1
M1,95,0,,0
M1,96,1,,1
M1,97,1,,1
M1,98,1,,1
M1,99,0,,0
M1,100,1,,1
M1,101,1,,1
M1,102,0,,0
M1,103,1,,1
M1,104,1,,1
M1,105,0,,0
M1,106,1,,1
M1,107,0,,0
M1,108,1,,1
M1,109,1,,1
M1,110,1,,1
M1,111,0,,0
M1,112,0,,0
M1,113,1,,1
M1,114,0,0,0
M1,115,1,,1
M1,116,1,,0
M1,117,1,1,1
M1,118,0,0,0
M1,119,0,0,0
M1,120,1,1,1
M1,121,1,,1
M1,122,1,,1
M1,123,0,,0
M1,124,1,1,1
M1,125,1,,0
M1,126,1,,1
M1,127,1,,1
M1,128,1,,1
M1,129,1,,1
M1,130,0,,1
M1,131,1,0,0
M1,132,1,,1
M1,133,0,,1
M1,134,1,,0
M1,135,1,,1
M1,136,1,1,1
M1,137,0,,0
M1,138,1,1,1
M1,139,1,,0
M1,140,1,,1
M1,141,1,,1
M1,142,1,1,1
M1,143,1,1,1
M1,144,1,,1
M1,145,0,,0
M1,146,0,0,0
M1,147,1,0,0
M1,148,1,1,1
M1,149,1,1,1
M1,150,0,0,0
M1,151,0,,0
M1,152,1,,1
M1,153,1,,1
M1,154,1,,1
M1,155,0,0,0
M1,156,0,,0
M1,157,1,,1
M1,158,0,0,0
M1,159,0,,0
M1,160,1,,1
M1,161,1,1,1
M1,162,1,,1
M1,163,0,,0
M1,164,1,,1
M1,165,1,0,0
M1,166,0,,0
M1,167,1,,1
M1,168,1,,1
M1,169,0,,0
M1,170,1,,1
M1,171,1,,1
M1,172,0,,0
M1,173,0,,0
M1,174,1,,1
M1,175,1,,1
M1,176,1,,1
M1,177,0,,0
M1,178,0,,0
M1,179,0,,0
M1,180,0,,0
M1,181,0,,0
M1,182,1,1,1
M1,183,1,,1
M1,184,1,,1
M1,185,0,,1
M1,186,1,,0
M1,187,1,,1
M1,188,1,,1
M1,189,0,,0
M1,190,1,1,1
M1,191,1,,1
M1,192,1,,1
M1,193,1,,1
M1,194,1,,1
M1,195,1,,1
M1,196,1,,1
M1,197,1,,1
M1,198,1,1,1
M1,199,0,,0
M1,200,1,1,1
M1,201,0,0,0
M1,202,1,1,1
M1,203,1,,1
M1,204,1,,1
M1,205,0,,0
M1,206,1,,1
M1,207,0,,0
M1,208,0,0,0
M1,209,0,,0
M1,210,1,,1
M1,211,1,,1
M1,212,1,1,1
M1,213,1,1,1
M1,214,0,,0
M1,215,1,,1
M1,216,1,,1
M1,217,1,1,1
M1,218,1,1,1
M1,219,1,,1
M1,220,1,,1
M1,221,1,,1
M1,222,0,,0
M1,223,1,,1
M1,224,1,1,1
M1,225,1,,1
M1,226,1,,1
M1,227,0,,0
M1,228,0,,0
M1,229,0,,0
M1,230,1,,1
M1,231,1,,1
M1,232,1,,0
M1,233,0,,0
M1,234,1,,1
M1,235,1,1,1
M1,236,1,,1
M1,237,0,,0
M1,238,1,,1
M1,239,1,,1
M1,240,1,,1
M1,241,1,,1
M1,242,1,,1
M1,243,0,,0
M1,244,1,1,1
M1,245,0,,0
M1,246,0,,0
M1,247,1,,1
M1,248,0,,0
M1,249,1,,1
M1,250,0,0,0
M1,251,0,0,0
M1,252,0,,0
M1,253,1,,1
M1,254,1,,1
M1,255,1,1,1
M1,256,0,,0
M1,257,1,1,1
M1,258,1,,1
M1,259,0,,0
M1,260,1,,0
M1,261,1,,1
M1,262,0,,0
M1,263,1,,1
M1,264,0,,0
M1,265,1,,1
M1,266,0,,0
M1,267,1,1,1
M1,268,1,,1
M1,269,1,,1
M1,270,1,,1
M1,271,0,,0
M1,272,1,,1
M1,273,1,1,1
M1,274,0,,0
M1,275,1,1,1
M1,276,1,,1
M1,277,1,,1
M1,278,1,,1
M1,279,0,,0
M1,280,1,,1
M1,281,1,,1
M1,282,1,,1
M1,283,1,,1
M1,284,1,,1
M1,285,1,,1
M1,286,1,1,1
M1,287,0,,0
M1,288,0,,0
M1,289,1,1,1
M1,290,1,,1
M1,291,1,1,1
M1,292,1,,1
M1,293,0,,0
M1,294,1,,1
M1,295,0,,1
M1,296,0,,0
M1,297,1,,1
M1,298,1,,1
M1,299,1,,1
M1,300,1,1,1
M1,301,1,1,1
M1,302,1,1,1
M1,303,0,1,1
M1,304,1,,1
M1,305,1,,1
M1,306,1,,1
M1,307,1,1,1
M1,308,1,,0
M1,309,0,,0
M1,310,1,,1
M1,311,1,1,1
M1,312,1,,1
M1,313,1,,1
M1,314,0,0,0
M1,315,0,0,0
M1,316,1,,1
M1,317,0,,0
M1,318,0,0,0
M1,319,1,,1
M1,320,0,,0
M1,321,1,,1
M1,322,1,1,1
M1,323,1,,1
M1,324,1,1,1
M1,325,1,,1
M1,326,1,1,1
M1,327,1,,1
M1,328,0,,0
M1,329,1,,0
M1,330,1,,1
M1,331,1,1,1
M1,332,1,,1
M1,333,1,,1
M1,334,1,1,1
M1,335,0,,0
M1,336,0,,0
M1,337,1,,1
M1,338,1,,1
M1,339,1,,1
M1,340,0,,0
M1,341,0,,1
M1,342,1,1,1
M1,343,1,,1
M1,344,1,,0
M1,345,0,,0
M1,346,0,,0
M1,347,0,,0
M1,348,1,,1
M1,349,1,1,1
M1,350,0,,1
M1,351,0,,0
M1,352,0,,0
M1,353,1,1,1
M1,354,1,,1
M1,355,0,,0
M1,356,0,,0
M1,357,1,,1
