question,model,score
0,E,8
0,F,6
1,E,7
1,F,7
2,E,9
2,F,9
3,E,9
3,F,7
4,E,8
4,F,8
5,E,8
5,F,8
6,E,8
6,F,6
7,E,6
7,F,6
8,E,10
8,F,8
9,E,9
9,F,8
10,E,7
10,F,6
11,E,8
11,F,7
12,E,7
12,F,7
13,E,10
13,F,8
14,E,8
14,F,6
15,E,8
15,F,5
16,E,9
16,F,10
17,E,9
17,F,7
18,E,9
18,F,10
19,E,8
19,F,9
20,E,10
20,F,9
21,E,7
21,F,7
22,E,10
22,F,10
23,E,10
23,F,7
24,E,7
24,F,7
25,E,8
25,F,8
26,E,10
26,F,10
27,E,9
27,F,9
28,E,8
28,F,8
29,E,8
29,F,7
30,E,10
30,F,8
31,E,9
31,F,9
32,E,8
32,F,9
33,E,9
33,F,8
34,E,7
34,F,6
35,E,8
35,F,9
36,E,8
36,F,8
37,E,6
37,F,7
38,E,10
38,F,8
39,E,8
39,F,9
40,E,8
40,F,6
41,E,7
41,F,8
42,E,9
42,F,9
43,E,6
43,F,8
44,E,5
44,F,7
45,E,10
45,F,10
46,E,5
46,F,5
47,E,9
47,F,6
48,E,7
48,F,9
49,E,6
49,F,4
50,E,6
50,F,6
51,E,10
51,F,10
52,E,8
52,F,6
53,E,6
53,F,5
54,E,9
54,F,8
55,E,8
55,F,6
56,E,8
56,F,7
57,E,7
57,F,6
58,E,6
58,F,5
59,E,8
59,F,7
60,E,9
60,F,7
61,E,8
61,F,7
62,E,8
62,F,6
63,E,9
63,F,9
64,E,8
64,F,8
65,E,7
65,F,8
66,E,8
66,F,5
67,E,6
67,F,5
68,E,10
68,F,8
69,E,9
69,F,8
70,E,6
70,F,7
71,E,10
71,F,9
72,E,8
72,F,8
73,E,8
73,F,8
74,E,6
74,F,7
75,E,7
75,F,5
76,E,7
76,F,9
77,E,8
77,F,8
78,E,10
78,F,8
79,E,5
79,F,4
